id	chrom	start_pos	end_pos	size	gc_content
1	Sc_chr04	0	434	434	0.5253456221198156
2	Sc_chr04	434	1197	763	0.3709043250327654
3	Sc_chr04	1197	1232	35	0.45714285714285713
4	Sc_chr04	1232	1888	656	0.40396341463414637
5	Sc_chr04	1888	2152	264	0.38636363636363635
6	Sc_chr04	2152	3665	1513	0.3648380700594845
7	Sc_chr04	3665	3977	312	0.3782051282051282
8	Sc_chr04	3977	5000	1023	0.343108504398827
9	Sc_chr04	5000	5222	222	0.33333333333333337
10	Sc_chr04	5222	5529	307	0.3778501628664495
11	Sc_chr04	5529	5590	61	0.42622950819672134
12	Sc_chr04	5590	6092	502	0.38645418326693226
13	Sc_chr04	6092	6494	402	0.4502487562189054
14	Sc_chr04	6494	6906	412	0.3859223300970874
15	Sc_chr04	6906	7706	800	0.39
16	Sc_chr04	7706	7965	259	0.38610038610038605
17	Sc_chr04	7965	8390	425	0.3247058823529412
18	Sc_chr04	8390	11328	2938	0.39176310415248466
19	Sc_chr04	11328	11654	326	0.35582822085889565
20	Sc_chr04	11654	12280	626	0.4073482428115016
21	Sc_chr04	12280	12394	114	0.39473684210526316
22	Sc_chr04	12394	12513	119	0.4621848739495798
23	Sc_chr04	12513	12535	22	0.45454545454545453
24	Sc_chr04	12535	12847	312	0.44230769230769235
25	Sc_chr04	12847	12889	42	0.38095238095238093
26	Sc_chr04	12889	14091	1202	0.37687188019966716
27	Sc_chr04	14091	14117	26	0.3846153846153846
28	Sc_chr04	14117	14169	52	0.3846153846153846
29	Sc_chr04	14169	14325	156	0.3653846153846154
30	Sc_chr04	14325	16217	1892	0.33298097251585623
31	Sc_chr04	16217	16360	143	0.4195804195804196
32	Sc_chr04	16360	16394	34	0.4705882352941177
33	Sc_chr04	16394	16532	138	0.5217391304347826
34	Sc_chr04	16532	16559	27	0.4074074074074074
35	Sc_chr04	16559	16661	102	0.4411764705882353
36	Sc_chr04	16661	16956	295	0.4271186440677966
37	Sc_chr04	16956	17136	180	0.4277777777777778
38	Sc_chr04	17136	17638	502	0.3884462151394423
39	Sc_chr04	17638	17879	241	0.39004149377593367
40	Sc_chr04	17879	18812	933	0.41479099678456594
41	Sc_chr04	18812	19053	241	0.3319502074688797
42	Sc_chr04	19053	19215	162	0.42592592592592593
43	Sc_chr04	19215	19243	28	0.42857142857142855
44	Sc_chr04	19243	19381	138	0.4057971014492754
45	Sc_chr04	19381	19475	94	0.3404255319148936
46	Sc_chr04	19475	20248	773	0.35575679172056923
47	Sc_chr04	20248	22014	1766	0.3607021517553794
